"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-30","69","80","60"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-31","69","84","56"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-01","71","85","57"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-02","71","87","58"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-03","77","92","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-04","82","97","67"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-05","81","89","68"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-06","71","80","62"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-07","70","75","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-08","72","84","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-09","74","87","61"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-10","73","84","62"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-11","72","86","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-12","72","84","61"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-13","75","88","62"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-14","78","92","66"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-15","80","92","67"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-16","80","93","67"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-17","82","98","69"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-18","82","92","68"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-19","71","79","57"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-20","68","81","55"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-21","71","86","56"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-22","72","84","58"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-23","68","81","57"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-24","71","86","60"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-25","73","87","60"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-26","73","87","59"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-27","74","87","61"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-28","77","91","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-29","81","96","67"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-30","88","104","74"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-01","92","108","77"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-02","94","108","77"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-03","91","104","76"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-04","86","100","70"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-05","84","99","67"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-06","80","95","64"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-07","78","93","61"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-08","77","90","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-09","75","89","60"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-10","74","91","59"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-11","82","99","68"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-12","86","102","70"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-13","86","101","68"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-14","86","101","71"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-15","90","106","76"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-16","93","108","79"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-17","94","109","81"
